email,name,phone,visit_date,department,ease_of_appointment,accessibility,ease_of_finding,parking,atmosphere,receptionist,seat_availability,waiting_time,doctor_approach,doubt_clearing,problem_explanation,overall_satisfaction
heatherberger@gmail.com,Anthony Howard,(238)692-2219x69379,2025-04-09,Neurology,4,5,5,5,3,4,5,5,4,5,4,4.454545454545454
stevenking@estrada-nolan.info,Megan Moore,594.647.4367x136,2025-04-09,Neurology,4,4,3,2,3,5,4,2,3,4,1,3.1818181818181817
victoria40@hotmail.com,Adam Grimes,001-097-439-5339x42104,2025-04-09,Neurology,2,3,3,3,5,1,2,2,2,4,2,2.6363636363636362
rileyjessica@gmail.com,Erin Perry,285.884.2474,2025-04-09,Neurology,1,4,4,3,5,4,4,1,2,4,4,3.272727272727273
mcdonaldcharles@gmail.com,Misty Whitney,+1-516-048-1754,2025-04-09,Neurology,1,5,4,4,1,3,3,4,4,5,5,3.5454545454545454
daniel37@gmail.com,Terri Murphy,+1-317-461-2004x711,2025-04-09,Neurology,2,4,2,3,4,4,1,4,3,4,2,3.0
paulwatson@horton.com,Mary Bass,+1-640-537-7351x585,2025-04-09,Neurology,2,5,5,1,4,5,5,1,1,4,2,3.1818181818181817
hhill@davis-lewis.org,Amber Cook,(931)839-3352,2025-04-09,Neurology,2,1,3,4,3,2,4,3,3,4,3,2.909090909090909
michele22@king.com,Hunter Kramer,001-502-402-6811,2025-04-09,Neurology,3,1,4,1,5,1,3,2,1,1,1,2.090909090909091
gstrickland@hotmail.com,Jonathan Dougherty,8470076617,2025-04-09,Neurology,2,1,5,2,2,2,4,1,5,2,4,2.727272727272727
lammarc@gmail.com,Donald Schultz,+1-569-847-8961,2025-04-09,Neurology,3,2,5,5,1,2,3,1,5,1,3,2.8181818181818183
russellbeasley@morgan-chavez.biz,Emily Edwards,527-111-1615x280,2025-04-09,Neurology,4,4,2,1,5,2,1,3,5,1,5,3.0
jenkinsmorgan@yahoo.com,Michelle Schmitt,+1-451-983-2731x585,2025-04-09,Neurology,3,5,4,3,1,5,3,1,4,4,1,3.090909090909091
audrey68@austin.com,Donald Farmer,502-296-1201x83667,2025-04-09,Neurology,3,4,2,4,2,5,3,5,5,4,4,3.727272727272727
mitchellgriffith@hotmail.com,Sophia Moore,001-901-476-7976x43815,2025-04-09,Neurology,5,3,3,2,1,3,4,2,4,5,5,3.3636363636363638
campbellerika@yahoo.com,Elizabeth Walker,+1-003-432-4451x076,2025-04-09,Orthopedics,3,1,4,3,2,4,2,3,3,3,3,2.8181818181818183
omarpadilla@hansen.biz,Amanda Smith,596-966-4160,2025-04-09,Orthopedics,3,5,1,5,2,1,2,4,4,5,2,3.090909090909091
lauriemontgomery@hotmail.com,Anita Richard,696.816.4535,2025-04-09,Orthopedics,4,4,1,1,3,2,4,2,3,5,3,2.909090909090909
dixondaniel@lee.com,Charles Gonzalez,+1-212-779-9799x552,2025-04-09,Orthopedics,5,5,3,4,5,3,3,4,3,3,3,3.727272727272727
harrisoncrystal@yahoo.com,Heather Jones,700.541.1998x679,2025-04-09,Orthopedics,1,2,3,1,5,2,2,2,4,3,5,2.727272727272727
kstout@lopez.com,Robert Monroe,001-182-037-7889x255,2025-04-09,Orthopedics,5,3,1,2,3,2,3,2,3,1,5,2.727272727272727
vortiz@hotmail.com,Rachel Holland,518-644-9251,2025-04-09,Orthopedics,3,1,1,5,3,2,4,1,1,5,3,2.6363636363636362
kyle62@fletcher.com,Meagan Calderon,001-816-850-5423x5733,2025-04-09,Orthopedics,4,4,3,2,1,3,4,1,1,4,4,2.8181818181818183
chrisrichard@romero.net,George Miranda,(962)229-2706,2025-04-09,Orthopedics,5,1,2,2,5,3,1,2,1,5,4,2.8181818181818183
tarabishop@hotmail.com,Cynthia Allen,359.774.6886x2392,2025-04-09,Orthopedics,5,5,2,5,4,4,4,3,5,4,3,4.0
davidsonmorgan@hotmail.com,Michelle Black,412-478-2613,2025-04-09,Orthopedics,5,1,5,1,2,2,3,1,2,2,2,2.3636363636363638
sarah60@yahoo.com,Cynthia Vang,(305)152-2047x277,2025-04-09,Orthopedics,1,2,1,4,4,5,4,3,1,2,3,2.727272727272727
smithjason@dunn.org,Ashley Roberts,103-697-1179x8089,2025-04-09,Orthopedics,4,1,2,3,5,2,4,1,5,2,2,2.8181818181818183
kellysmith@allen-butler.com,Heather Ashley,+1-888-067-0654,2025-04-09,Orthopedics,2,1,1,2,3,5,5,3,4,1,4,2.8181818181818183
kristina53@sandoval.com,Harold Morgan,+1-277-221-7043x0305,2025-04-09,Orthopedics,4,3,5,5,4,4,1,5,1,4,3,3.5454545454545454
ihays@yahoo.com,Paul Lee,(054)156-6765x277,2025-04-09,Orthopedics,3,1,1,2,5,5,1,3,5,1,2,2.6363636363636362
laurie61@yahoo.com,Samantha Gardner,115-447-9627x57059,2025-04-09,Orthopedics,5,4,3,2,5,4,4,1,4,3,4,3.5454545454545454
danielle01@hotmail.com,Heidi Owen,+1-202-970-2135x56909,2025-04-09,Orthopedics,3,1,2,3,4,4,3,4,5,1,4,3.090909090909091
xrush@hines-berry.net,Ernest Ramirez,027-868-1447,2025-04-09,Orthopedics,3,3,3,1,4,5,1,5,4,4,1,3.090909090909091
heather73@taylor.info,Micheal Osborn,+1-551-884-4225x83132,2025-04-09,Orthopedics,5,3,5,4,4,1,2,3,5,2,3,3.3636363636363638
jjohnson@wood.org,Ana Sanders,001-786-691-2517x785,2025-04-09,Orthopedics,4,1,1,5,2,2,3,5,1,5,4,3.0
katrinaanderson@bartlett.com,Christopher Donovan,584.143.8424,2025-04-09,Orthopedics,2,1,4,1,2,4,3,5,3,4,4,3.0
brittanycarpenter@hopkins.org,Thomas Williams,1094396907,2025-04-09,Orthopedics,2,4,5,2,4,2,5,5,2,1,3,3.1818181818181817
timothy64@yahoo.com,Anthony Gonzales,735.925.5562x5881,2025-04-09,Orthopedics,3,5,3,1,3,3,5,5,4,2,4,3.4545454545454546
stevenadams@gmail.com,Anthony Dougherty,+1-632-595-3278x774,2025-04-09,Orthopedics,4,3,3,5,5,4,4,3,2,2,5,3.6363636363636362
davisphillip@yahoo.com,Cindy Gomez,4797480162,2025-04-09,Orthopedics,2,4,1,3,4,4,4,2,4,1,2,2.8181818181818183
kathryn50@yahoo.com,Justin Cox,168-784-9912x1655,2025-04-09,Orthopedics,5,3,1,4,1,5,4,1,2,4,2,2.909090909090909
jameshicks@hotmail.com,Andrew Reeves,872.982.5952x6949,2025-04-09,Orthopedics,4,3,3,5,4,1,3,5,4,3,4,3.5454545454545454
terickson@yahoo.com,Isabella Nunez,(940)974-9930x97289,2025-04-09,Orthopedics,1,5,1,2,3,2,1,4,1,1,4,2.272727272727273
lorraineallen@hotmail.com,Ashley Smith,626-368-9702x83857,2025-04-09,Orthopedics,3,1,1,3,1,3,3,3,4,2,2,2.3636363636363638
